Review,Food,Service,Ambience,Price,Drinks
The food doesn't justify the high prices by a longshot. It's below average.,1,0,0,1,0
Great food and service!,1,1,0,0,0
"Classy, fun modestly priced restaurant with a fabulous bakery. Total big city vibe. Loved it for breakfast and a late take-out dessert.",1,0,0,1,0
As always!! Delishes and excellent customer service �,1,1,0,0,0
"It 's was my first visit to  Bogotta Louie  I was just looking at the desserts and chocolates,I love it ty I was there on 2/12/2017  maybe for my 50 th birthday within 2 years I would love to celebrate there",1,0,1,0,0
This place is MAGICAL!! A must stop for delicious desserts!,1,0,1,0,0
I love this establishment! Had Thanksgiving dinner there and everything was awesome! Love the macaroons too! Have taken many photos of the desserts and posted them to my page! They should hire me for a photo spread!,1,0,1,0,0
Over rated that and had to pay for parking. Won't make the trip back there,0,0,0,1,0
"Food is terrible and desserts are mediocre, in fact the 16 layer chocolate was horrible, it tasted like tobacco instead of chocolate! Me and four other people in my table ordered the ""Trenne"", which was recommended by the waitress, and none of us could even finish the thing because it was so awkwardly bad tasting.  It is very chaotic",1,0,0,0,0
Great food... Super pastries!,1,0,0,0,0
"Great food, great service and a beautiful space. We had an incredible time. The prosciutto di Parma pizza, tagliatelle bolignese, carbonara, pesto gnocchi, brussels sprouts, hazelnut Napoleon were all superb. Our server Frankie was great and very fun!! Thank you!!",1,1,1,0,0
I tried the pizza for the first time. It was everything that I expected...#Epic,1,0,0,0,0
Everything on the menu is good but I say definitively get the truffle pizza with an arugula salad on the side goes perfectly with it. Each enough for three people. The portobello mushroom fries are amazing. The Cobb salad is so huge it is definitely enough for two people.  And lots of the things that make a Cobb salad  a Cobb salad! ,1,0,0,0,0
"I just spent $85 on a box of macaroons. That’s not the issue. The girl at the register barely spoke to me and barely let me speak. I handed her the card to pack the ones I wanted, and when it was time to pay she asked if there was anything else. I said , “Well,...” before I even got to finish she swiped my card as if she was done wit",0,1,0,1,0
An ethereal feast for the senses in equal parts Parisian bistro and boulangerie. A great place to show off to out-of-towners and an undeservedly  underrated LA landmark,1,0,1,0,0
"As a foodie who traveled 46 weeks a year's for eight years, BL is in my top three across the country. Whether it's an elegant dinner or beignets for breakfast, they never disappoint!",1,0,0,0,0
"It was perfect! My husband and I visited on our trip to Los Angeles. We had the portabello mushroom fries, crab beignets, croque madame, fruit tart and affogato. ALL were fabulous, atmosphere was on point and service friendly and efficient. Definitely worth another visit!",1,1,1,0,0
"Love the food, deserts, macarons, and drinks! Highly recommended! :)",1,0,0,0,0
ABSOLUTELY AMAZING! french toast is outstanding Service is great And so aesthetically pleasing,1,1,1,0,0
Absolutely AMAZING! The staff is absolutely lovely and the food and pastries are simply divine!,1,0,0,0,0
Bottega Louie is amazing! Supreme pastry craftsmanship beautiful restaurant - great service !,1,1,1,0,0
Amazing food and service. I HIGHLY recommend this place.,1,1,0,0,0
